,AAL,AAPL,BA,BAC,CSCO,GE,MSFT,WFC
AAL,1.0,0.229810545120785,0.6390742281640801,0.6007969315370867,0.2338977649763376,0.4764302040171131,-0.038388578883065884,0.6760857003588366
AAPL,0.229810545120785,1.0,-0.3507371018585536,0.1566927232768586,0.47489178035479734,-0.5460194546639175,0.8932225567699659,-0.2519851276158242
BA,0.6390742281640801,-0.3507371018585536,1.0,0.31499147823574813,-0.07428261313846947,0.7347444087810946,-0.3944534627426918,0.65067265820514
BAC,0.6007969315370867,0.1566927232768586,0.31499147823574813,1.0,0.4172159234398879,0.536151570032347,-0.03181498176272068,0.7941954848397238
CSCO,0.2338977649763376,0.47489178035479734,-0.07428261313846947,0.4172159234398879,1.0,-0.051671118013821474,0.46006499733243966,0.09929462473563042
GE,0.4764302040171131,-0.5460194546639175,0.7347444087810946,0.536151570032347,-0.051671118013821474,1.0,-0.6738511570275229,0.8122973264052775
MSFT,-0.038388578883065884,0.8932225567699659,-0.3944534627426918,-0.03181498176272068,0.46006499733243966,-0.6738511570275229,1.0,-0.5073109816191285
WFC,0.6760857003588366,-0.2519851276158242,0.65067265820514,0.7941954848397238,0.09929462473563042,0.8122973264052775,-0.5073109816191285,1.0
